start_x,start_y,start_z,goal_x,goal_y,goal_z
0.69658433,-1.32929052,-0.85,2.410724089,2.409084003,-0.85
2.710609148,2.425872863,-0.85,-0.207266515,1.118339552,-0.85
0.124851395,0.338951909,-0.85,3.540107968,-0.242327088,-0.85
2.561704399,1.891650433,-0.85,-0.316724754,-0.21841597,-0.85
0.649039327,0.190758834,-0.85,2.453121781,3.377438292,-0.85
0.72591446,-0.339030976,-0.85,3.560302031,3.553553721,-0.85
3.756253983,3.215307814,-0.85,-0.778406418,2.397366792,-0.85
2.445038437,1.968863264,-0.85,0.029572252,-0.17834403,-0.85
0.131436582,1.991104104,-0.85,4.149320402,-0.229667332,-0.85
3.070679849,3.510887099,-0.85,0.772333648,-1.051929955,-0.85
-0.229133907,0.178151254,-0.85,4.037881535,3.574421177,-0.85
2.453121781,3.377438292,-0.85,-0.197489902,-0.942077163,-0.85
-0.530910139,0.982362306,-0.85,3.373219177,-0.761628705,-0.85
-0.169477139,1.277391665,-0.85,4.054863779,1.341176629,-0.85
3.104670902,1.029454165,-0.85,1.680876538,3.400867228,-0.85
3.657011032,3.415199574,-0.85,-0.018817953,0.058397873,-0.85
3.5474212,-1.167577275,-0.85,-0.197250487,-0.568477573,-0.85
0.793976264,-0.579627281,-0.85,4.458274795,-1.166101758,-0.85
0.844432726,0.927405247,-0.85,4.045672417,-1.070597973,-0.85
3.871131777,-0.34251612,-0.85,0.635469376,2.597211735,-0.85
1.025160762,3.336352735,-0.85,3.398793719,-1.322290257,-0.85
4.316905536,-1.258354374,-0.85,0.964054121,2.987926112,-0.85
1.482341824,2.845305866,-0.85,4.458274795,-1.166101758,-0.85
1.168947799,3.189819626,-0.85,3.66394268,-1.135353726,-0.85
2.006383179,2.484327857,-0.85,4.46214565,-0.996152308,-0.85
3.09956194,1.864459239,-0.85,0.331931782,0.027562197,-0.85
0.546672736,2.168340274,-0.85,0.372151675,-0.992427039,-0.85
0.964054121,2.987926112,-0.85,1.932151921,-1.039610756,-0.85
0.916672136,-0.567531883,-0.85,4.319838491,0.286588222,-0.85
1.226285168,-1.447704773,-0.85,1.322028355,1.891137315,-0.85
2.020062939,2.088251973,-0.85,4.058628962,-1.249447104,-0.85
1.65179783,2.993809176,-0.85,-0.034605788,-0.810122555,-0.85
-0.288591204,1.440101048,-0.85,4.15702057,3.64065239,-0.85
4.361921761,0.392034914,-0.85,-0.405799635,1.047120693,-0.85
1.06177761,2.322484704,-0.85,3.677085554,-0.457802013,-0.85
-0.044046928,-0.702776034,-0.85,1.906488245,2.623092638,-0.85
4.011719726,3.065862471,-0.85,0.620931444,-1.118990089,-0.85
3.089650261,1.13291483,-0.85,0.783481531,2.750010591,-0.85
1.625465675,2.392835332,-0.85,3.661365914,-1.05215296,-0.85
0.891417387,-0.020774808,-0.85,4.204406794,1.234334717,-0.85
0.745178142,2.468787231,-0.85,4.180424358,0.764099612,-0.85
1.922296728,1.921765888,-0.85,4.058628962,-1.249447104,-0.85
3.891168406,0.774352061,-0.85,0.784731865,1.907620534,-0.85
-0.034605788,-0.810122555,-0.85,2.679878673,2.077857568,-0.85
3.57896311,2.620588411,-0.85,0.129382402,1.763659195,-0.85
3.514431861,-1.009010905,-0.85,3.71206492,2.642250585,-0.85
3.496163004,2.684851426,-0.85,0.526382032,1.479704778,-0.85
-0.134521648,-0.513888776,-0.85,0.635469376,2.597211735,-0.85
0.448160126,1.183073666,-0.85,3.661365914,-1.05215296,-0.85
4.162172204,1.534479372,-0.85,0.790567518,-1.160519636,-0.85
3.19010826,2.650627057,-0.85,0.212507679,-0.368772499,-0.85
3.392402652,-1.309787126,-0.85,0.850668061,1.580238377,-0.85
3.580902054,1.654158006,-0.85,0.707526866,0.889443285,-0.85
1.057978649,2.904412429,-0.85,-0.04601915,-0.508793708,-0.85
3.155952775,-0.206306526,-0.85,-0.328350375,0.695662245,-0.85
3.999448264,3.085022753,-0.85,0.14211634,-0.819703256,-0.85
0.983492598,2.005601137,-0.85,3.943726613,1.112473647,-0.85
-0.356057067,0.592338294,-0.85,3.616662875,0.49765143,-0.85
3.643256951,0.844832368,-0.85,-0.044870781,-0.491253048,-0.85
2.858966079,1.940049391,-0.85,-0.413411009,0.391210659,-0.85
